平均值	8.231423551194093E-4	8.989138738979806E-4	8.257108476106903E-4	0.0026146804259143766	0.002648086149799909	0.0027246953004005743	0.0025448985009926257	0.002575417933204956	0.002563412580869232
SiteId	Latitude	Longitude	UserCount	MinuteCount	URICount	TotalCount	工作区	生活区	商业区	timeZone1	timeZone2	timeZone3	timeZone4	timeZone5	timeZone6
221	40.718601	111.114998	1848	8101	798	132852	1	1	0	3987	11328	28004	28201	31363	29969
1207	40.837799	111.674004	2411	7525	740	125538	4	16	8	5521	10805	38719	25572	40700	4221
685	40.819599	111.636002	1924	8772	800	193968	1	1	0	12476	17186	47713	38610	41083	36900
661	40.7892	111.658997	1776	8450	742	115500	2	3	3	11900	18073	28304	23401	26910	6912
514	40.7714	111.605003	1825	8488	686	109215	2	0	1	8315	14699	17921	16846	19740	31694
1137	40.841499	111.662003	1804	8764	777	139625	0	2	1	15925	18732	20608	23227	26205	34928
1416	40.805012	111.737558	1898	8662	763	107522	1	1	0	10925	13366	17848	18438	21322	25623
1176	40.839199	111.667999	1893	8280	705	93900	1	10	11	15813	13784	23030	17863	18492	4918
1365	40.847599	111.683998	2294	8324	758	98982	0	1	0	10092	8705	16838	19562	19344	24441
563	40.791401	111.625999	1477	8473	767	99754	0	1	0	15066	17545	20189	16935	21054	8965
565	40.759602	111.658997	2341	7485	792	116118	0	1	0	12844	16767	36824	14218	16740	18725
1445	40.834783	111.717001	1678	8559	767	143000	1	2	5	19323	22133	35788	27048	28878	9830
734	40.820099	111.643997	1902	8715	698	113824	0	5	2	11475	12961	18235	19144	24153	27856
58	40.2761	111.198997	1338	8509	775	104254	0	4	0	6354	9427	17718	22187	21961	26607
679	40.8097	111.642998	2073	8222	770	139752	1	1	0	13173	13534	28280	25502	28075	31188
1051	40.818699	111.676003	1380	8765	718	133124	7	14	9	18610	13037	18768	26257	26036	30416
590	40.786598	111.641998	1254	8439	714	94910	1	3	2	15812	19121	18592	12128	20599	8658
942	40.798	111.686996	1780	8304	735	109233	5	13	3	13481	12805	31216	22586	23526	5619
1141	40.813801	111.690002	2101	8633	734	110583	2	7	2	12220	9455	22470	24004	21255	21179
1091	40.790798	111.709	1631	8622	717	99297	2	1	1	12218	15248	16076	15473	17876	22406
649	40.813801	111.629997	1674	8508	784	177413	3	4	5	18013	28391	48065	37565	37372	8007
1451	40.846085	111.707718	1434	8715	714	105380	0	2	1	13378	12861	13873	16583	22744	25941
870	40.821594	111.656372	1705	8670	736	125618	3	54	8	11681	12098	17038	25624	26180	32997
1087	40.844299	111.654999	1824	8757	774	162761	1	0	0	21854	24466	22835	30482	27548	35576
929	40.761379	111.722862	1433	8592	756	96727	0	1	0	8455	10795	17884	17062	17581	24950
1073	40.813202	111.683998	2016	7357	777	180452	5	14	8	2047	7994	72357	30546	47922	19586
668	40.819099	111.630997	1462	8584	731	103677	2	1	3	11299	10980	10912	18488	19183	32815
1373	40.844101	111.689003	1114	8690	728	114585	4	6	4	8908	14617	17353	21413	20307	31987
624	40.7607	111.677002	1724	7714	721	133650	0	1	0	4367	9016	37931	24497	36643	21196
636	40.806499	111.634003	1268	8457	694	98601	1	11	5	13440	19547	20945	16114	20200	8355
105	40.2015	111.348	992	8635	740	108438	0	1	1	12229	15015	17954	20389	20908	21943
815	40.822399	111.651001	1322	8584	666	101211	0	5	3	11137	12279	21237	17323	18773	20462
1288	40.8442	111.677002	2058	4539	729	132457	1	11	5	62	2425	53035	33260	37430	6245
741	40.7794	111.685997	1266	8690	685	97567	1	1	2	12484	12301	15310	12797	17990	26685
950	40.8004	111.684998	1706	8128	654	101014	5	15	6	13153	14820	26467	18457	22304	5813
1426	40.847698	111.697998	1134	8649	740	114016	0	8	3	9439	12323	26447	23280	21618	20909
1291	40.8195	111.702003	935	8355	625	88738	0	15	4	8393	10400	13490	14590	14956	26909
1022	40.841692	111.649827	1041	8577	760	144609	3	5	0	8917	13566	26160	30637	34694	30635
1680	40.897301	111.848	1166	8491	663	108726	0	1	0	13357	14249	9549	24826	19855	26890
979	40.840401	111.648003	1082	6904	720	110375	1	2	2	2653	5799	42564	19646	25320	14393
1239	40.844601	111.671997	699	8199	575	99616	3	14	2	13472	11561	12333	22860	10828	28562
1682	40.898499	111.847	624	8199	614	109244	0	1	0	15191	17427	7112	22357	23583	23574
1248	40.846199	111.670998	522	8616	653	135777	1	6	2	23170	18387	16331	26358	16784	34747
1486	40.835602	111.726997	464	7535	556	168253	3	11	8	2742	8230	52324	43297	56904	4756
1685	40.905602	111.841003	268	7817	526	97065	0	0	1	12244	16079	11638	18936	13991	24177
