平均值	0.0024193543264464856	0.0014796201603411666	0.001664343358615658	0.0027716181642091046	5.521596385283494E-4	4.942817973482001E-4	5.677930265624512E-4	3.2955488176573955E-4	5.986985065922541E-4	5.766383690689039E-4	8.707347869886509E-4	7.172927895168814E-4	6.045934207105782E-4	5.008955317273221E-4	7.140888746366241E-4	2.824717533935113E-4	2.789801190938342E-4	4.965179223713424E-4	6.268000582514607E-4	8.349260370214629E-4	4.2383096885795387E-4	0.0026724269998841914	0.00271203701985625	0.0030235507983233925	0.0027141338101650627	0.0027711940802028724	0.0025968298893983793
SiteId	Latitude	Longitude	UserCount	MinuteCount	URICount	TotalCount	美食	休闲娱乐	购物	结婚	宾馆酒店	旅游景点	教育培育	生活服务	医疗服务	丽人	汽车服务	运动健身	商务服务	机构	金融银行	楼宇小区	交通出行	工作区	生活区	商业区	timeZone1	timeZone2	timeZone3	timeZone4	timeZone5	timeZone6
464	40.783798	111.544998	2882	7975	855	250277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	8624	14264	96187	55369	70324	5509
817	40.801601	111.671997	3354	8337	757	142979	48	4	8	4	13	1	5	3	7	5	3	1	0	4	7	0	1	16	69	29	12145	18163	41914	29038	36643	5076
1688	40.906799	111.841003	3387	8813	871	275422	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21617	20005	47944	53752	57600	74504
1351	40.816299	111.713997	2881	8243	718	105818	47	3	2	2	13	1	4	3	2	3	0	1	0	3	4	1	0	9	60	20	9948	10708	26480	23992	29012	5678
1444	40.872398	111.679001	1924	8142	852	179523	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	17566	22072	31208	24999	34289	49389
1003	40.7971	111.693001	3607	8312	779	138661	19	1	2	0	3	0	0	1	6	2	9	0	0	2	3	0	0	14	28	6	12620	12330	42290	26536	36682	8203
1243	40.843899	111.672997	3893	8527	800	212074	35	4	1	0	13	1	4	2	7	4	0	0	0	3	4	0	1	9	52	18	12267	15527	62314	47135	51432	23399
1297	40.843399	111.679001	3860	8686	813	246610	22	4	4	1	14	2	6	5	6	5	3	0	0	5	1	0	0	11	44	23	14612	17300	70902	45714	57330	40752
1456	40.866402	111.689003	2890	8716	797	133420	0	0	1	0	0	0	0	1	0	0	2	0	0	0	2	1	0	5	1	1	8995	14908	25891	25461	28291	29874
1318	40.85765	111.66798	2861	8789	810	194647	11	4	0	1	2	0	0	1	2	1	1	0	0	1	1	1	0	4	15	7	23437	21629	32204	33729	35200	48448
