平均值	4.2322975604438255E-4	3.485877287300104E-4	4.2109744168523146E-4	5.767039291642782E-4	5.991271951685088E-4	5.015838317669336E-4	5.360000838205009E-4	5.286308158530396E-4	6.312325116360451E-4
SiteId	Latitude	Longitude	UserCount	MinuteCount	URICount	TotalCount	工作区	生活区	商业区	timeZone1	timeZone2	timeZone3	timeZone4	timeZone5	timeZone6
66	40.282082	111.202919	890	8024	559	54917	1	2	0	3060	8016	8931	11569	10761	12580
488	40.795441	111.552361	1527	6396	537	30692	0	3	0	2255	3700	9084	5980	8267	1406
1389	40.814899	111.722	1214	7813	586	52219	0	8	1	4895	6161	7879	9108	9109	15067
1503	40.81607	111.750925	1174	7280	613	46351	2	0	0	2642	3499	9111	9873	10779	10447
1071	40.806	111.691002	1730	7635	590	54749	0	8	0	9064	5933	10791	12020	12387	4554
651	40.780201	111.664001	1481	6540	517	31126	1	0	0	2161	2858	5195	6428	7150	7334
59	40.276142	111.199203	926	7521	601	51111	0	4	0	2399	4773	8932	11922	11011	12074
1415	40.839401	111.703003	1074	7141	503	39279	1	3	1	6549	6994	8469	6685	8120	2462
1275	40.8490316	111.670383	1569	6879	538	41192	0	1	2	4128	3684	8433	8050	9682	7215
1531	40.840116	111.7359	996	7665	631	51043	1	2	1	4304	7311	11945	10849	13344	3290
1400	40.856201	111.682999	1347	7929	487	50537	0	1	0	4555	5527	9428	8863	10190	11974
106	40.201504	111.348167	872	7616	611	51178	0	1	1	4659	4328	9277	10218	13782	8914
236	40.71376	111.137703	841	7836	554	40715	0	1	0	3889	5461	5233	8081	7905	10146
233	40.723999	111.125	891	6684	533	35304	0	1	1	1711	3855	7478	7197	7030	8033
583	40.7729	111.652	874	7703	616	62867	0	1	0	4711	7884	11682	12047	12393	14150
230	40.718578	111.12764	828	7050	546	35921	0	1	1	2567	2487	6311	8077	8856	7623
825	40.788559	111.685883	1265	7962	589	49491	1	2	1	3916	5389	8781	8031	10464	12910
919	40.781269	111.70192	1251	7116	528	34805	0	1	0	2875	3674	7261	6553	6816	7626
618	40.8092	111.626999	1140	7145	536	37413	3	0	0	3551	5600	8888	7673	9067	2634
1035	40.834702	111.657997	889	7963	606	64505	1	2	2	6155	8616	19340	12203	14542	3649
1040	40.8326	111.661003	939	7107	518	35756	0	1	1	4487	4462	9808	6566	8206	2227
1557	40.863908	111.723183	1089	7397	595	52350	1	0	0	2445	4156	9775	10473	13817	11684
1338	40.831974	111.695808	1163	8149	555	51538	0	4	4	5455	6226	8982	9348	11142	10385
161	40.354301	111.313004	822	4135	418	13961	1	0	0	1118	1090	2980	2844	3348	2581
1536	40.84853	111.73071	1221	4768	454	16981	0	2	0	1610	2034	3830	3931	4459	1117
1441	40.82592	111.724068	1333	6577	453	24131	1	9	4	2967	2682	5510	4538	6847	1587
234	40.724049	111.125267	705	7136	523	37627	0	1	1	2435	4078	6990	7689	7330	9105
1430	40.815399	111.731003	800	4588	524	38062	0	2	0	0	147	7179	9210	9395	12131
1487	40.808998	111.754997	795	6860	570	49558	0	1	0	7953	6166	8089	8735	10668	7947
1345	40.813801	111.714996	828	6935	502	34780	1	8	6	5721	4733	6983	7589	7610	2144
1006	40.841488	111.648836	1540	5134	602	43410	1	1	1	610	2320	15853	7155	12102	5370
1458	40.849602	111.706001	840	7179	566	46299	0	1	0	3285	4722	7183	6978	8566	15565
592	40.810551	111.619003	1002	6949	520	33613	1	4	1	5203	5318	7385	6126	7273	2308
1156	40.8506583	111.65472	1157	6112	477	25085	0	1	3	2693	1673	4320	5226	5285	5888
504	40.80159	111.562225	1310	3754	408	12463	0	1	0	488	1772	3800	1956	3817	630
1247	40.857683	111.659508	871	8122	564	48807	1	0	0	5685	7079	7095	7518	8298	13132
671	40.825001	111.625999	658	6936	531	36400	0	1	1	5512	6094	6218	5483	9540	3553
1608	40.8372	111.792	597	6857	469	28640	0	1	0	5171	6471	5193	3773	5608	2424
508	40.771301	111.596001	916	5694	438	24412	1	1	0	3707	2254	3623	3473	3462	7893
1508	40.841499	111.726997	855	5622	411	19841	0	0	2	2061	2484	6100	3679	4438	1079
1414	41.100159	111.442146	534	5951	454	31089	0	1	0	3986	4411	5882	6725	7955	2130
1170	40.819599	111.686996	814	6821	463	34650	3	11	5	2999	3166	6258	5771	7255	9201
827	40.788601	111.685997	811	7520	543	42039	1	2	1	4504	5021	6342	4992	8359	12821
1014	40.836899	111.653999	965	6182	492	27519	3	1	2	4502	3008	5556	6342	5687	2424
242	40.723419	111.13842	729	6772	473	27443	1	2	0	2427	3504	5983	5259	5639	4631
