SiteId	Latitude	Longitude	UserCount	MinuteCount	URICount	TotalCount	美食	休闲娱乐	购物	结婚	宾馆酒店	旅游景点	教育培育	生活服务	医疗服务	丽人	汽车服务	运动健身	商务服务	机构	金融银行	楼宇小区	交通出行	timeZone1	timeZone2	timeZone3	timeZone4	timeZone5	timeZone6
946	40.8251	111.660004	4714	8138	741	103386	11	0	1	0	3	0	3	2	1	2	0	0	0	2	3	0	0	12309	11866	24830	22651	27765	3965
684	40.807098	111.648003	5085	8790	819	178129	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	18737	21112	32513	33025	36028	36714
892	40.824525	111.655892	4281	8784	847	202951	19	0	1	0	8	0	0	2	2	0	0	0	0	0	4	1	0	21344	20418	46669	38781	43428	32311
725	40.815399	111.648003	5296	8714	811	147670	11	9	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	9757	12714	31811	31009	38350	24029
1086	40.810001	111.689003	5557	8330	795	149347	17	2	4	0	4	1	3	0	0	2	0	1	0	1	1	0	1	10608	14190	46963	30559	40656	6371
1545	40.837	111.746013	4226	8492	830	200884	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	14124	22594	61302	44907	51102	6855
1304	40.828499	111.695	5309	8795	818	251882	5	0	1	0	2	1	1	0	0	0	1	0	0	0	2	0	0	23558	24302	63150	51813	56890	32169
904	40.827801	111.653999	3856	8452	788	127145	2	1	0	0	1	0	1	1	0	0	0	0	0	1	2	0	0	17537	16879	32574	24398	28871	6886
1668	40.8983	111.838997	5244	8308	903	262324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5274	5834	106766	48282	61946	34222
763	40.819801	111.648003	4615	8654	764	133116	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	9630	12862	31524	29156	29515	20429
1019	40.859249	111.632004	4492	8604	834	182107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16570	16656	33503	34638	39237	41503
1245	40.8419	111.675003	4755	8768	819	188699	8	0	0	0	6	0	0	0	2	1	0	0	0	0	1	0	0	12846	14405	38310	43841	45516	33781
1180	40.824699	111.682999	5083	8603	692	109520	23	7	5	4	4	1	2	3	3	6	0	1	0	7	8	1	3	9780	12650	20315	22614	26237	17924
605	40.766102	111.667	4017	8787	856	188031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15496	22861	40129	31641	37713	40191
841	40.810101	111.666	4347	8801	850	204037	1	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	21552	20505	41364	40905	41215	38496
599	40.7915	111.639999	3618	8550	813	133741	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	16705	23694	28022	21774	34339	9207
926	40.8181	111.666	4777	8621	771	127602	18	2	2	1	2	0	0	1	1	1	0	0	0	2	3	0	0	11671	8533	25461	26348	32649	22940
770	40.797001	111.671997	4244	8390	750	108762	9	1	5	0	3	0	1	0	0	0	2	0	0	0	0	0	0	13674	16111	24341	21692	27975	4969
633	40.803101	111.637001	3503	8613	821	198408	4	1	1	0	0	0	2	1	1	0	1	0	0	0	0	1	0	31347	36080	43288	34030	41637	12026
1056	40.827301	111.667999	4567	8140	687	84110	7	0	4	0	3	1	0	0	0	0	1	0	0	0	3	0	1	8737	10760	19920	16288	24903	3502
1149	40.815899	111.689003	4520	8737	808	162181	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	9418	15835	32400	34450	35644	34434
677	40.8032	111.649002	3853	8394	746	123807	7	0	0	0	1	0	2	2	0	0	2	0	0	0	0	1	0	14438	17560	29117	26878	30121	5693
1188	40.808102	111.700996	4610	8544	793	168522	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20052	21663	41180	33060	43082	9485
553	40.775799	111.635002	3434	8784	853	162947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	17258	21293	24496	24179	31544	44177
1106	40.835999	111.665001	4607	8223	809	143364	2	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	9932	14327	50457	26150	37972	4526
690	40.816299	111.639999	4526	8751	782	148913	2	1	1	0	2	1	1	1	1	0	0	0	1	0	0	1	0	15012	15261	23629	27733	36023	31255
631	40.788502	111.651001	3756	8518	814	136564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14409	23218	31671	26801	32738	7727
935	40.76997	111.714699	3189	8842	846	231262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	23642	26656	43142	39870	47090	50862
548	40.793701	111.614998	2793	8462	814	132674	4	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	13259	22596	31355	26512	31444	7508
1496	40.8755	111.690002	2689	8748	877	187219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12534	23626	42024	33739	37060	38236
808	40.852059	111.620455	3956	8757	870	316046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8708	18543	110795	57107	83309	37584
1263	40.8466	111.671997	4051	8827	834	279832	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33992	23043	62071	48175	58729	53822
698	40.808899	111.649002	4259	8538	781	120713	5	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	10196	9058	22597	28762	30753	19347
1669	40.9016	111.837997	4242	8841	902	335664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20221	22957	104641	62197	71396	54252
436	40.493649	111.787767	3477	8856	903	381949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29575	23308	90284	80109	79431	79242
1244	40.819901	111.696999	4351	8633	726	113669	4	1	0	0	8	2	2	3	5	1	0	0	0	1	1	0	1	11212	9604	20567	22658	27134	22494
1671	40.896702	111.845001	4328	8787	869	269989	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	19131	27969	70288	51859	51571	49171
1039	40.854191	111.639308	3984	6947	664	53083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2448	4978	13041	11210	13573	7833
1482	40.83559	111.726733	4277	8433	773	125730	7	1	4	1	2	1	2	0	0	2	1	0	0	0	0	2	0	10978	15355	28777	29228	35010	6382
460	40.785702	111.537003	3179	8487	830	170467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13860	24315	53527	32234	38835	7696
1378	40.830601	111.704002	3642	8531	769	147018	7	2	1	0	2	2	3	0	0	1	0	0	0	1	3	0	1	17180	18731	33789	30579	38430	8309
1134	40.857201	111.646004	3189	8619	769	120336	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	15366	13790	19341	19673	25225	26941
1282	40.829498	111.691002	3999	8681	725	136897	11	3	1	0	4	0	1	0	0	0	0	0	0	0	0	1	0	14269	13463	26760	21463	34407	26535
1435	40.86388	111.683207	3356	8662	801	122976	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8024	15973	23729	24074	26790	24386
895	40.8018	111.679001	3233	8497	734	127858	5	0	0	0	1	1	1	1	0	0	0	0	0	0	2	0	0	19681	18561	26602	25511	28451	9052
862	40.829399	111.648003	3996	8159	691	98114	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	9145	10271	27905	20576	25129	5088
1082	40.832401	111.666	3789	8365	705	110667	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11249	13024	29768	20077	30886	5663
842	40.806198	111.669998	4105	8453	714	116992	11	4	0	6	0	0	2	0	1	0	3	0	1	2	1	1	1	18879	19059	26441	20105	25927	6581
530	40.809662	111.581764	3368	8041	744	90955	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5352	10917	28363	19917	22933	3473
697	40.7938	111.664001	3501	8438	735	101930	7	1	3	0	7	0	1	3	4	1	1	0	0	1	2	0	1	14685	15571	22033	15308	27506	6827
965	40.829399	111.657997	2606	6124	584	39322	9	1	2	0	3	0	1	0	3	0	1	0	1	0	1	0	0	2459	5503	11700	9675	8676	1309
873	40.851101	111.626999	3905	8788	814	173535	2	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	17765	16857	31904	29895	44625	32489
1147	40.820702	111.683998	3919	8499	664	110975	24	8	1	1	7	1	1	1	1	2	0	0	0	3	3	0	1	8284	10028	23275	26227	28229	14932
1699	40.9016	111.849998	4042	8705	843	237290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13015	12553	64372	47911	53497	45942
464	40.783798	111.544998	2882	7975	855	250277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8624	14264	96187	55369	70324	5509
1357	40.8298	111.700996	4061	8590	712	96474	3	0	1	0	1	1	3	0	0	1	0	0	0	1	5	0	1	8647	8751	19969	20776	24767	13564
1425	40.8325	111.712997	3910	7833	695	74123	0	3	0	0	3	0	1	1	0	0	2	0	0	0	0	1	0	6255	10168	21755	13423	19859	2663
817	40.801601	111.671997	3354	8337	757	142979	17	1	3	0	2	0	0	1	1	2	0	0	0	2	3	0	0	12145	18163	41914	29038	36643	5076
1688	40.906799	111.841003	3387	8813	871	275422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21617	20005	47944	53752	57600	74504
1351	40.816299	111.713997	2881	8243	718	105818	9	1	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	9948	10708	26480	23992	29012	5678
1444	40.872398	111.679001	1924	8142	852	179523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17566	22072	31208	24999	34289	49389
1011	40.822899	111.667999	3601	8137	667	87167	14	8	1	0	10	2	0	0	0	1	1	0	0	1	4	0	0	5569	5621	19959	20319	22440	13259
1003	40.7971	111.693001	3607	8312	779	138661	3	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	12620	12330	42290	26536	36682	8203
1243	40.843899	111.672997	3893	8527	800	212074	15	1	0	0	7	1	1	0	1	1	0	0	0	1	4	0	1	12267	15527	62314	47135	51432	23399
1297	40.843399	111.679001	3860	8686	813	246610	5	0	2	0	3	0	2	4	3	3	2	0	0	2	1	0	0	14612	17300	70902	45714	57330	40752
1456	40.866402	111.689003	2890	8716	797	133420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8995	14908	25891	25461	28291	29874
1318	40.85765	111.66798	2861	8789	810	194647	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	23437	21629	32204	33729	35200	48448
1210	40.812599	111.699997	3800	7886	743	85276	23	6	4	0	4	0	1	1	2	0	0	0	0	0	3	0	0	7489	10732	24111	16136	22847	3961
1020	40.8283	111.663002	3289	7974	691	76710	20	2	2	0	13	1	0	2	0	0	2	0	0	0	3	0	0	7519	9959	21019	14762	20748	2703
1242	40.802799	111.713997	2919	8590	808	244852	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	53068	43290	52424	45813	37928	12329
664	40.792599	111.655998	3010	8389	723	108006	8	0	1	1	2	0	0	1	4	0	1	0	0	0	2	0	0	13404	17842	26051	20344	23778	6587
1065	40.809399	111.686996	3845	7266	770	132340	10	1	3	0	2	1	1	2	1	2	0	0	0	1	2	0	1	4188	9244	45930	30223	39076	3679
1459	40.83415	111.721478	3867	7819	747	87582	12	3	1	0	2	0	2	0	0	0	0	0	0	0	3	1	0	6758	10009	22493	16823	25684	5815
1390	40.806999	111.730003	2346	8757	822	190770	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	10433	19098	48787	39256	43650	29546
1010	40.838699	111.652069	3045	8849	899	307447	0	2	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	23322	32563	65993	59042	61550	64977
699	40.779457	111.678472	3071	8527	795	107696	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8451	12773	20931	16250	21419	27872
1154	40.84091	111.66438	3431	8494	708	98098	1	1	2	1	2	0	3	1	2	1	1	0	0	1	0	1	0	10081	8291	16777	19371	23053	20525
674	40.805199	111.646004	2758	8791	878	265741	3	0	2	0	1	0	0	0	2	0	1	0	0	0	0	1	0	18871	23694	58875	56368	56455	51478
601	40.794863	111.636652	2390	8506	764	119018	2	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	20883	23487	23388	20487	23854	6919
1546	40.844153	111.739368	2387	8255	750	92661	1	0	0	0	3	0	1	0	0	0	2	0	0	0	0	0	0	7727	13356	23473	20851	21690	5564
982	40.838581	111.650002	3471	8671	871	221562	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9980	16389	63742	39119	47326	45006
1224	40.811901	111.702003	3003	8558	833	295163	10	2	2	0	3	0	0	2	2	0	0	0	0	0	3	0	0	18450	20507	100431	59721	81667	14387
1027	40.820702	111.670998	4001	7809	616	69187	28	7	2	0	15	2	0	1	1	2	2	0	1	2	8	0	3	5000	5615	16269	18358	17853	6092
791	40.823482	111.647603	3334	8303	640	79498	12	0	4	0	1	1	2	1	1	1	1	0	0	1	0	2	1	6502	8624	14785	17682	17990	13915
1450	40.820801	111.733002	2657	8700	701	102744	2	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	12539	13339	19840	18841	18910	19275
1220	40.8265	111.686996	3682	7919	681	83100	26	5	5	2	15	3	3	0	3	1	1	1	0	1	6	0	1	3717	7831	19298	20134	21550	10570
721	40.8074	111.654999	3487	8263	662	68041	18	2	2	0	5	0	2	1	2	0	2	0	0	0	1	0	0	6438	6108	12294	13106	15378	14717
1265	40.813801	111.705002	2881	8635	811	273921	7	1	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	53234	40915	55556	55209	50236	18771
626	40.764198	111.674004	2676	7601	835	199714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25496	16181	32961	45719	41494	37863
783	40.7854	111.684998	3078	8362	708	82951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6798	8009	15390	12320	19227	21207
772	40.811501	111.657997	3444	7739	635	69836	18	0	4	0	1	1	1	4	4	0	0	0	0	0	1	0	0	3497	3779	14703	18007	19865	9985
1442	40.8428	111.708	2743	8689	739	108298	2	0	1	0	3	0	0	1	0	0	1	0	0	0	0	0	0	10081	12238	21542	19599	21604	23234
1313	40.835098	111.690002	3096	7641	621	65340	5	0	9	0	0	1	0	2	2	0	1	0	1	0	1	0	1	10912	9559	14469	11843	15549	3008
1369	40.798401	111.734001	2177	8760	811	144947	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	12117	17581	28194	25710	29997	31348
558	40.7794	111.635002	2144	8782	813	168619	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	17579	25459	21925	21893	33639	48124
477	40.7901	111.551003	2755	8603	827	195304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27577	29560	41702	36869	44713	14883
780	40.817101	111.653	3020	8544	736	94911	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	12145	8494	18514	17889	18884	18985
993	40.835602	111.653999	2975	7990	734	77488	1	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	10739	8709	16414	15765	19598	6263
1055	40.8363	111.658997	2812	8397	794	133477	1	1	2	0	0	1	0	0	0	0	2	0	0	0	2	0	0	11195	12356	42585	25895	34546	6900
916	40.8069	111.676003	3458	7798	717	128368	26	3	1	0	1	1	0	3	1	3	2	0	1	2	4	1	1	4587	12877	43992	24106	39813	2993
1203	40.815102	111.695999	3031	8547	744	146679	7	3	1	0	6	0	1	0	3	1	0	0	0	1	0	0	0	21711	14599	27600	30736	40515	11518
410	40.47625	111.783302	2475	8494	806	113161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7666	10000	28848	26065	25655	14927
823	40.820202	111.653999	2695	8825	846	281045	3	1	0	0	5	0	1	3	13	0	0	0	0	0	3	0	0	18610	22208	74514	54560	59066	52087
1331	40.821301	111.706001	2867	8497	756	135838	39	6	3	2	6	1	2	0	0	5	1	0	0	6	4	2	1	11586	14079	24548	25805	28823	30997
254	40.726799	111.168999	1958	8265	762	92039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5218	10641	18530	19774	17874	20002
1332	40.844398	111.682999	3044	8782	829	158821	0	2	2	0	1	0	3	1	1	0	0	0	0	1	1	0	0	15120	15181	34231	28375	33757	32157
978	40.8134	111.675003	3260	7646	636	57063	13	2	5	0	1	0	1	0	9	2	0	0	0	2	3	0	0	4391	3572	11499	10710	15613	11278
980	40.802502	111.685997	2670	8611	825	267022	12	1	2	0	5	0	0	2	4	0	5	0	0	0	1	0	0	39363	26629	71370	53808	57160	18692
1281	40.8628	111.6576883	2626	8287	742	89657	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4851	8775	17866	17149	19486	21530
1676	40.902401	111.842003	3474	8400	834	191231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11485	10807	58863	34445	38391	37240
1428	40.825001	111.721001	2434	8501	735	121109	2	0	2	0	2	1	5	0	1	0	0	0	0	0	2	0	0	15657	16473	28917	23104	30228	6730
813	40.815102	111.657997	2801	8639	707	122408	6	2	1	0	2	0	2	3	2	2	0	0	0	2	0	0	0	8128	6857	23802	33053	31494	19074
1300	40.8391	111.683998	2876	8406	710	95503	3	0	1	0	2	0	1	0	1	0	0	0	0	0	1	2	0	17263	14390	18036	17565	21446	6803
905	40.819801	111.662003	3432	7914	617	66838	24	3	4	0	3	1	2	1	3	1	0	1	0	1	1	0	0	6122	3762	16541	16122	15042	9249
62	40.270046	111.208366	1431	8729	784	151631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9183	16900	23854	32316	33349	36029
1090	40.822701	111.677002	2585	8625	712	108188	11	4	11	1	13	3	1	0	1	2	1	1	0	2	4	1	2	10552	7459	18400	25203	24224	22350
1136	40.824402	111.679001	3433	8088	626	60138	18	4	6	0	8	1	1	2	2	5	1	0	0	3	5	0	3	6196	5142	9924	12343	15476	11057
1000	40.807999	111.681999	2632	8487	734	135532	5	2	0	0	3	0	1	1	2	1	2	0	0	1	1	0	0	14843	17760	32095	28132	33745	8957
764	40.810902	111.656998	2358	8707	724	123818	22	1	5	0	1	2	0	2	4	0	0	0	0	0	4	0	0	11998	10502	24093	24526	24731	27968
1309	40.847198	111.677002	2964	8639	786	171196	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	13568	13997	41059	30887	38112	33573
876	40.798302	111.68	3010	8043	631	68975	27	3	12	0	3	1	0	1	2	2	1	0	0	2	9	0	1	8128	8294	17274	13619	18080	3580
1382	40.8344	111.700996	2130	8030	776	150151	8	1	1	0	4	1	2	3	3	1	2	0	0	0	0	0	0	20342	27327	32403	31553	30231	8295
794	40.823508	111.647933	3387	7472	619	46969	13	0	5	0	1	1	3	2	1	1	1	0	0	1	0	2	1	2568	4705	9362	10116	12568	7650
606	40.819199	111.613998	2180	8332	722	90161	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	9857	12808	23028	19038	20661	4769
568	40.817101	111.601997	2006	8422	751	141221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10319	15343	42339	32701	33960	6559
1554	40.892799	111.693001	1715	8704	828	188503	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12650	17279	51715	32328	37170	37361
1235	40.809101	111.707001	2908	8208	730	165895	11	1	1	0	4	0	0	0	1	0	0	0	0	0	1	0	0	19270	14874	52972	34881	39405	4493
536	40.812843	111.582795	2531	8008	683	68265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5748	8574	17033	16375	17062	3473
540	40.7971	111.605003	1890	8745	789	142282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16713	20269	23693	21460	26644	33503
1273	40.811199	111.708	2582	8451	744	124257	12	1	2	2	4	0	0	0	1	1	0	0	0	3	1	0	0	12693	12993	35239	23964	31568	7800
54	40.276539	111.191353	1582	8285	760	96701	3	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	4507	8735	16362	23313	19984	23800
663	40.814419	111.634003	2531	8235	824	223630	0	0	2	0	0	0	2	3	0	0	0	0	0	0	2	0	0	24804	27007	55609	38259	39290	38661
582	40.795399	111.628998	2127	8301	759	131510	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	2	0	11796	18469	38116	24674	32894	5561
1405	40.815201	111.724998	2023	8737	750	129969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13148	12668	19977	24605	25503	34068
1452	40.830299	111.723999	2049	8560	816	180895	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	23641	23322	50370	35460	37408	10694
1573	40.875999	111.721001	1701	8674	796	124481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9205	16580	21554	22036	25090	30016
355	40.371899	111.803001	1409	8537	746	104697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6976	12246	18984	21869	20989	23633
577	40.807598	111.614998	2165	8340	724	103941	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15411	20112	23242	16756	20205	8215
691	40.8125	111.643997	2470	8718	786	128736	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	17044	10824	17955	26418	23547	32948
658	40.796001	111.650002	2436	8041	677	74113	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6209	9581	17070	17161	19263	4829
1012	40.803902	111.686996	2869	7962	737	136259	16	0	10	0	6	2	0	4	2	1	5	0	0	1	2	0	2	12160	10795	45131	28224	33873	6076
669	40.783501	111.667	2141	8763	764	136844	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	17960	18920	21206	20863	21627	36268
419	40.490955	111.780132	2719	8543	851	213082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15984	16310	65266	40702	44729	30091
1413	40.8423	111.699997	2078	8692	715	104661	6	1	4	0	4	0	2	0	0	2	0	0	0	2	2	2	0	14302	12092	13839	16616	19574	28238
1636	40.859299	111.821999	1807	8224	684	85338	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	10749	12458	21574	17434	19103	4020
1695	40.898201	111.851997	3054	8797	795	193648	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	18312	21981	41497	35834	36377	39647
1222	40.851693	111.661987	2518	8228	686	84308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8854	9641	13847	14580	16944	20442
1387	40.823299	111.712997	2347	8283	653	83395	15	1	2	2	2	0	1	1	2	1	1	1	0	3	2	0	0	13512	12672	18001	15235	17927	6048
837	40.807924	111.667238	2976	7242	655	70689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3219	4268	13939	17550	20040	11673
1526	40.819901	111.753998	1866	8495	773	101378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6750	9266	21599	22673	20910	20180
1201	40.832001	111.679001	2532	7893	621	58149	1	0	2	0	2	0	0	0	1	0	2	0	0	1	0	1	0	7585	9195	12476	11734	13622	3537
1700	40.901699	111.849998	3136	8548	765	160006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14206	18326	35655	28955	33272	29592
482	40.797401	111.546997	1710	8329	698	90183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11745	18035	18613	16159	20190	5441
228	40.7159	111.126999	1618	8438	726	98380	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5842	11268	17482	20154	20304	23330
662	40.800301	111.648003	2225	7375	617	57317	4	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	3682	5994	15753	12184	17251	2453
644	40.8116	111.630997	2424	8463	738	107777	9	1	4	0	3	0	2	1	1	0	4	0	0	1	0	0	0	16637	15107	26869	19926	22775	6463
1175	40.803001	111.704002	2649	8319	723	153541	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37514	25329	31747	28098	21742	9111
231	40.718601	111.127998	1762	8365	749	85666	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5247	7496	16848	18082	20350	17643
603	40.757599	111.674004	2379	8841	833	329732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39532	29365	58974	66835	67226	67800
1466	40.841499	111.716003	2120	6430	714	82654	7	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	8890	9969	19438	19962	19747	4648
983	40.808701	111.68	2694	7827	653	66650	25	1	3	1	1	0	2	2	0	2	0	0	0	1	3	0	0	8718	9791	13279	11958	17090	5814
1691	40.897999	111.850998	2542	8681	832	226008	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	22862	24041	40803	39529	44481	54292
1237	40.8391	111.677162	2906	7610	603	69536	19	1	5	0	2	0	0	0	0	1	1	0	0	1	0	0	0	5002	6703	20456	16408	18806	2161
787	40.813599	111.656998	2512	8323	666	89366	41	0	1	0	2	2	4	4	5	2	0	0	0	2	0	0	0	5745	6490	18499	22293	20089	16250
1307	40.818699	111.705002	1983	8786	766	142321	9	2	2	0	1	0	3	1	0	0	0	0	0	0	0	0	0	16738	19261	22962	22889	25781	34690
1189	40.8302	111.679001	2575	7102	594	46331	5	0	3	0	3	0	0	2	1	0	2	0	0	1	1	3	0	3548	4216	11595	10685	13923	2364
