SiteId	Latitude	Longitude	UserCount	MinuteCount	URICount	TotalCount	美食	休闲娱乐	购物	结婚	宾馆酒店	旅游景点	教育培育	生活服务	医疗服务	丽人	汽车服务	运动健身	商务服务	机构	金融银行	楼宇小区	交通出行	工作区	生活区	商业区	timeZone1	timeZone2	timeZone3	timeZone4	timeZone5	timeZone6
716	40.766031	111.695078	3158	8819	839	232538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26390	29305	38529	45173	50274	42867
315	40.741299	111.350998	2144	7961	620	59574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4629	5655	12142	12400	13983	10765
1378	40.830601	111.704002	3642	8531	769	147018	61	15	9	1	22	3	5	5	4	8	0	0	1	9	8	0	3	24	83	47	17180	18731	33789	30579	38430	8309
1134	40.857201	111.646004	3189	8619	769	120336	0	0	1	0	2	0	0	0	0	0	3	0	0	0	0	2	0	5	0	3	15366	13790	19341	19673	25225	26941
1282	40.829498	111.691002	3999	8681	725	136897	52	12	6	1	22	5	6	2	7	3	8	2	1	3	13	3	2	35	72	41	14269	13463	26760	21463	34407	26535
1435	40.86388	111.683207	3356	8662	801	122976	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3	2	8024	15973	23729	24074	26790	24386
895	40.8018	111.679001	3233	8497	734	127858	63	6	17	0	11	1	3	4	12	3	1	1	0	4	10	0	2	18	86	34	19681	18561	26602	25511	28451	9052
862	40.829399	111.648003	3996	8159	691	98114	6	0	2	0	5	1	1	1	3	0	1	0	0	0	2	0	1	5	11	7	9145	10271	27905	20576	25129	5088
1082	40.832401	111.666	3789	8365	705	110667	36	4	13	0	16	1	1	4	3	1	4	0	0	1	5	0	2	13	45	33	11249	13024	29768	20077	30886	5663
372	40.752399	111.446999	2819	8581	785	108127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8404	7663	26216	23101	23627	19116
842	40.806198	111.669998	4105	8453	714	116992	35	10	5	12	6	1	3	2	4	4	4	1	3	6	7	2	2	25	49	33	18879	19059	26441	20105	25927	6581
530	40.809662	111.581764	3368	8041	744	90955	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	2	5352	10917	28363	19917	22933	3473
479	40.793999	111.547997	2978	8631	848	257581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42750	34611	52706	45577	61462	20475
697	40.7938	111.664001	3501	8438	735	101930	51	4	14	1	24	0	8	9	9	5	4	0	1	4	3	0	1	13	82	43	14685	15571	22033	15308	27506	6827
965	40.829399	111.657997	2606	6124	584	39322	36	2	7	0	23	2	5	2	4	1	1	0	1	3	8	1	2	18	48	32	2459	5503	11700	9675	8676	1309
873	40.851101	111.626999	3905	8788	814	173535	2	0	0	0	2	0	4	0	0	0	1	0	0	0	0	0	0	1	6	2	17765	16857	31904	29895	44625	32489
1603	40.848301	111.774002	2903	8379	767	122499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10555	14015	37335	23550	30190	6854
1147	40.820702	111.683998	3919	8499	664	110975	102	19	9	8	34	2	8	2	5	9	1	1	1	10	7	1	10	32	127	70	8284	10028	23275	26227	28229	14932
1699	40.9016	111.849998	4042	8705	843	237290	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	13015	12553	64372	47911	53497	45942
464	40.783798	111.544998	2882	7975	855	250277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	8624	14264	96187	55369	70324	5509
1357	40.8298	111.700996	4061	8590	712	96474	34	9	11	0	14	2	5	8	3	5	0	0	0	4	8	1	3	18	55	34	8647	8751	19969	20776	24767	13564
1425	40.8325	111.712997	3910	7833	695	74123	48	8	6	1	24	0	2	4	0	4	3	0	2	7	2	2	0	16	58	39	6255	10168	21755	13423	19859	2663
817	40.801601	111.671997	3354	8337	757	142979	48	4	8	4	13	1	5	3	7	5	3	1	0	4	7	0	1	16	69	29	12145	18163	41914	29038	36643	5076
1688	40.906799	111.841003	3387	8813	871	275422	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21617	20005	47944	53752	57600	74504
1351	40.816299	111.713997	2881	8243	718	105818	47	3	2	2	13	1	4	3	2	3	0	1	0	3	4	1	0	9	60	20	9948	10708	26480	23992	29012	5678
1444	40.872398	111.679001	1924	8142	852	179523	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	17566	22072	31208	24999	34289	49389
1011	40.822899	111.667999	3601	8137	667	87167	96	25	13	0	39	6	3	3	3	5	5	1	1	5	14	0	4	35	111	77	5569	5621	19959	20319	22440	13259
1003	40.7971	111.693001	3607	8312	779	138661	19	1	2	0	3	0	0	1	6	2	9	0	0	2	3	0	0	14	28	6	12620	12330	42290	26536	36682	8203
1243	40.843899	111.672997	3893	8527	800	212074	35	4	1	0	13	1	4	2	7	4	0	0	0	3	4	0	1	9	52	18	12267	15527	62314	47135	51432	23399
551	40.747398	111.662003	2796	8801	865	186833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14145	22253	34867	34843	38424	42301
1297	40.843399	111.679001	3860	8686	813	246610	22	4	4	1	14	2	6	5	6	5	3	0	0	5	1	0	0	11	44	23	14612	17300	70902	45714	57330	40752
1456	40.866402	111.689003	2890	8716	797	133420	0	0	1	0	0	0	0	1	0	0	2	0	0	0	2	1	0	5	1	1	8995	14908	25891	25461	28291	29874
1318	40.85765	111.66798	2861	8789	810	194647	11	4	0	1	2	0	0	1	2	1	1	0	0	1	1	1	0	4	15	7	23437	21629	32204	33729	35200	48448
1210	40.812599	111.699997	3800	7886	743	85276	67	14	12	0	14	2	6	3	7	7	0	0	0	5	7	0	1	15	90	40	7489	10732	24111	16136	22847	3961
1020	40.8283	111.663002	3289	7974	691	76710	55	5	17	0	34	1	5	4	5	2	4	1	1	3	9	0	3	21	72	56	7519	9959	21019	14762	20748	2703
